Date,MMM,KO,JPM,INTC,IBM,GS,CSCO,BA,AAPL,JNJ
23/9/16,134.952179,33.635231,54.497135,30.447609,105.003883,141.390671,24.833576,121.247826,26.05615,97.059288
26/9/16,133.85672,33.09219,53.305885,30.005524,104.326324,138.265411,24.619623,120.134552,26.095449,96.217857
27/9/16,134.122986,33.517178,53.775902,30.43943,106.21666,139.472672,24.944513,120.824593,26.144001,97.394241
28/9/16,135.10437,33.17091,54.059513,30.652285,107.246521,139.952164,24.960356,121.661858,26.342812,97.533119
29/9/16,133.415466,33.076473,53.200546,30.554047,107.124557,136.099091,24.873198,120.557777,25.933622,95.801224
30/9/16,134.069733,33.304688,53.962273,30.906086,107.625916,138.085632,25.134686,121.211037,26.134752,96.503792
3/10/16,133.164398,33.076473,53.897449,30.832409,106.785782,137.914352,25.166639,121.799889,26.012228,97.059288
4/10/16,130.608231,32.926949,54.362717,30.734161,106.006599,138.941818,25.046803,121.680267,26.123196,97.067482
5/10/16,131.148392,32.903336,55.25243,31.102589,106.426682,142.478073,25.238546,123.897652,26.134752,97.36158
6/10/16,130.577835,32.824638,55.399361,31.168077,106.291168,143.12027,25.150665,123.676865,26.328941,97.010277
7/10/16,130.34198,32.840374,55.595264,31.192638,105.471367,145.415024,25.14267,123.152405,26.36824,97.410583
10/10/16,130.197418,32.840374,56.027889,31.12715,106.386017,146.45105,25.14267,124.98333,26.828285,97.868034
11/10/16,129.086746,32.690857,55.758514,30.513115,104.87513,144.738586,24.799129,123.051201,26.886084,96.103485
12/10/16,129.117126,32.879719,55.611584,30.398499,104.536369,144.961182,24.239866,122.517548,27.126503,96.373077
13/10/16,129.345367,32.863983,55.293243,30.2675,104.150192,143.351471,24.104048,122.719978,27.043283,96.609985
14/10/16,129.581223,32.793159,55.113667,30.66048,104.64476,146.005829,24.112043,122.830383,27.193546,96.038132
17/10/16,129.489883,32.73806,54.827976,30.529491,104.861618,144.704285,24.143991,123.290398,27.175055,96.797897
18/10/16,129.29213,33.029243,55.260593,30.906086,102.117577,147.812485,24.319765,124.302528,27.156561,94.281738
19/10/16,129.261688,33.09219,55.791157,29.072197,102.483459,149.42218,24.24786,125.296158,27.075649,93.611847
20/10/16,129.223679,32.997765,55.717705,29.006695,102.659599,149.42218,24.09606,124.98333,27.061777,93.840607
21/10/16,128.949783,33.155167,55.90543,28.777466,101.379074,149.559189,24.088068,124.790146,26.955433,92.672401
24/10/16,130.296326,33.493565,56.215614,28.867516,102.015968,149.944519,24.335745,126.464684,27.19817,92.811295
25/10/16,126.462074,33.477821,56.158478,28.736525,102.225983,150.312714,24.239866,127.909218,27.336876,93.097191
26/10/16,126.675095,33.399117,56.427845,28.589151,102.856079,151.614197,24.407646,133.908112,26.721947,93.587341
27/10/16,126.104523,33.147289,56.509464,28.499107,103.899521,152.196396,24.27183,131.856323,26.46533,94.518654
